Gene ID,Locus Tag,Gene Name,Protein Code,Protein Product
gene1592,NVIE_015020,ureC2,A0A060HQC5,urease subunit alpha
gene1593,NVIE_015030,NVIE_015030,A0A060HRC3,hypothetical protein
gene1594,NVIE_015040,gltA,A0A060HJQ2,citrate synthase
gene1595,NVIE_015050,NVIE_015050,A0A060HGL1,protein of unknown function
gene1596,NVIE_015060,NVIE_015060,A0A060HKE5,luciferase-like monooxygenase family protein
gene1597,NVIE_015070,NVIE_015070,A0A060HQD1,putative exonuclease of the beta-lactamase fold
gene1598,NVIE_015080,purN,A0A060HRC6,phosphoribosylglycinamide formyltransferase
gene1599,NVIE_015090,NVIE_015090,A0A060HJQ8,major facilitator superfamily MFS_1
gene1600,NVIE_1540,ubiE2,A0A060HGL7,putative ubiquinone/menaquinone biosynthesis methyltransferase UbiE
gene1601,NVIE_015100,NVIE_015100,A0A060HKF4,DEAD/DEAH box helicase domain-containing protein
gene1602,NVIE_015110,topoI,A0A060HQD6,DNA topoisomerase IB
gene1603,NVIE_015120,NVIE_015120,A0A060HRC9,putative Uncharacterized membrane-associated protein
gene1604,NVIE_015130,NVIE_015130,A0A060HJR3,CBS and Zinc Finger C2H2 domain-containing membrane protein
gene1605,NVIE_t0200,NVIE_t0200,#N/A,tRNA-Met
gene1606,NVIE_015140,NVIE_015140,A0A060HGM4,protein of unknown function
gene1607,NVIE_015150,NVIE_015150,A0A060HKG3,protein of unknown function
gene1608,NVIE_015160,NVIE_015160,A0A060HQE2,hypothetical protein
gene1609,NVIE_t0210,NVIE_t0210,#N/A,tRNA-Phe
gene1610,NVIE_015170,purB,A0A060HRD3,adenylosuccinate lyase
gene1611,NVIE_015180,NVIE_015180,A0A060HJR9,uncharacterised UPF0027 family protein
gene1612,NVIE_015190,NVIE_015190,A0A060HGN1,hypothetical protein
gene1613,NVIE_015200,NVIE_015200,A0A060HKH1,hypothetical protein
gene1614,NVIE_015210,rps11p,A0A060HQE8,30S ribosomal protein S11p
gene1615,NVIE_015220,NVIE_015220,A0A060HRD8,putative SAM-dependent methyltransferase
gene1616,NVIE_015230,NVIE_015230,A0A060HJS5,hypothetical protein
gene1617,NVIE_015240,NVIE_015240,A0A060HGN7,protein of unknown function
gene1618,NVIE_1556,NVIE_1556,A0A060HKH9,protein of unknown function
gene1619,NVIE_015250,NVIE_015250,A0A060HQF2,"putative signal transduction histidine kinase, with PAS, phosphoacceptor and ATP binding domain"
gene1620,NVIE_015260,NVIE_015260,A0A060HRE3,"putative signal transduction response regulator, receiver domain"
gene1621,NVIE_015270,NVIE_015270,A0A060HJT1,protein of unknown function
gene1622,NVIE_015280,NVIE_015280,A0A060HGP4,protein of unknown function
gene1623,NVIE_015290,NVIE_015290,A0A060HKI8,protein of unknown function
gene1624,NVIE_015300,thiL,A0A060HQF6,thiamine-monophosphate kinase
gene1625,NVIE_015310,NVIE_015310,A0A060HRE7,alpha-D-phosphohexomutase
gene1626,NVIE_015320,NVIE_015320,A0A060HJT6,putative nitrogen regulatory protein P-II
gene1627,NVIE_t0220,NVIE_t0220,#N/A,tRNA-Thr
gene1628,NVIE_015330,ths2,A0A060HGQ0,archaeal thermosome subunit
gene1629,NVIE_015340,NVIE_015340,A0A060HKJ7,protein of unknown function
gene1630,NVIE_1567,NVIE_1567,A0A060HQG1,fragment/hypothetical protein
gene1631,NVIE_015360,NVIE_015360,A0A060HRF3,conserved protein of unknown function
gene1632,NVIE_015370,NVIE_015370,A0A060HJU0,exported protein of unknown function
gene1633,NVIE_015380,NVIE_015380,A0A060HGQ5,exported protein of unknown function
gene1634,NVIE_015390,NVIE_015390,A0A060HKK5,protein of unknown function
gene1635,NVIE_015400,NVIE_015400,A0A060HQG7,protein of unknown function
gene1636,NVIE_015410,NVIE_015410,A0A060HRF7,protein of unknown function
gene1637,NVIE_1574,NVIE_1574,A0A060HJU6,hypothetical protein
gene1638,NVIE_1575,NVIE_1575,A0A060HGR1,hypothetical protein
gene1639,NVIE_1576,NVIE_1576,A0A060HKL4,protein of unknown function
gene1640,NVIE_1577,NVIE_1577,A0A060HQH0,hypothetical protein
gene1641,NVIE_015430,NVIE_015430,A0A060HRG1,protein of unknown function
gene1642,NVIE_t0230,NVIE_t0230,#N/A,tRNA-Val
gene1643,NVIE_015440,NVIE_015440,A0A060HJV2,putative DNA methylase N-4/N-6 domain protein
gene1644,NVIE_015450,NVIE_015450,A0A060HGR8,"putative cob(II)yrinic acid a,c-diamide reductase"
gene1645,NVIE_015460,NVIE_015460,A0A060HKM2,hypothetical protein
gene1646,NVIE_t0240,NVIE_t0240,#N/A,tRNA-Arg
gene1647,NVIE_015470,NVIE_015470,A0A060HQH5,"Transcriptional regulator, HxlR family"
gene1648,NVIE_015480,NVIE_015480,A0A060HRG7,conserved protein of unknown function
gene1649,NVIE_015490,NVIE_015490,A0A060HJV7,hypothetical protein
gene1650,NVIE_015500,NVIE_015500,A0A060HGS4,putative HEAT repeat-containing PBS lyase
gene1651,NVIE_015510,NVIE_015510,A0A060HKN1,hypothetical protein
gene1652,NVIE_015520,tatC,A0A060HQH9,TatC subunit of twin-arginine targeting system
gene1653,NVIE_015530,tatA2,A0A060HRH2,TatA subunit of twin-arginine targeting system
gene1654,NVIE_015540,purP2,A0A060HJW3,5-formaminoimidazole-4-carboxamide-1-(beta)-D- ribofuranosyl 5'-monophosphate ligase
gene1655,NVIE_015550,NVIE_015550,A0A060HGT0,DUF151 domain-containing protein
gene1656,NVIE_015560,NVIE_015560,A0A060HKN7,hypothetical protein
gene1657,NVIE_015570,NVIE_015570,A0A060HQI3,phosphatase of the haloacid dehalogenase (HAD)-like hydrolase family
gene1658,NVIE_015580,NVIE_015580,A0A060HRH7,conserved protein of unknown function
gene1659,NVIE_015590,NVIE_015590,#N/A,putative peptide methionine sulphoxide reductase
gene1660,NVIE_015600,NVIE_015600,A0A060HJW9,exported protein of unknown function
gene1661,NVIE_1597,NVIE_1597,A0A060HGT7,protein of unknown function
gene1662,NVIE_015610,NVIE_015610,A0A060HKP5,protein of unknown function
gene1663,NVIE_015620,NVIE_015620,A0A060HQI9,hypothetical protein
gene1664,NVIE_015630,NVIE_015630,A0A060HRI1,"putative oxidoreductase, short chain dehydrogenase/reductase family"
gene1665,NVIE_015640,NVIE_015640,A0A060HJX5,protein of unknown function
gene1666,NVIE_015650,NVIE_015650,A0A060HGU5,protein of unknown function
gene1667,NVIE_015660,NVIE_015660,A0A060HKQ3,membrane protein of unknown function
gene1668,NVIE_015670,NVIE_015670,A0A060HQJ3,exported protein of unknown function
gene1669,NVIE_015680,NVIE_015680,A0A060HRI6,protein of unknown function
gene1670,NVIE_015690,NVIE_015690,A0A060HJY0,protein of unknown function
gene1671,NVIE_015700,NVIE_015700,A0A060HGV0,protein of unknown function
gene1672,NVIE_015710,NVIE_015710,A0A060HKQ8,protein of unknown function
gene1673,NVIE_015720,NVIE_015720,A0A060HQJ6,protein of unknown function
gene1674,NVIE_015730,NVIE_015730,A0A060HRJ1,protein of unknown function
gene1675,NVIE_1610,NVIE_1610,A0A060HJY7,protein of unknown function
gene1676,NVIE_1611,NVIE_1611,A0A060HGV6,protein of unknown function
gene1677,NVIE_015740,NVIE_015740,A0A060HKR3,protein of unknown function
gene1678,NVIE_015750,NVIE_015750,A0A060HQK3,conserved exported protein of unknown function
gene1679,NVIE_015760,NVIE_015760,A0A060HRJ9,exported protein of unknown function
gene1680,NVIE_015770,NVIE_015770,A0A060HJZ1,protein of unknown function
gene1681,NVIE_015780,NVIE_015780,A0A060HGW3,protein of unknown function
gene1682,NVIE_015790,NVIE_015790,A0A060HKS0,putative antibiotic biosynthesis monooxygenase (modular protein)
gene1683,NVIE_015800,fusA,A0A060HQK7,translation elongation factor 2
gene1684,NVIE_015810,NVIE_015810,A0A060HRK6,protein of unknown function DUF178
gene1685,NVIE_015820,NVIE_015820,A0A060HJZ6,protein of unknown function
gene1686,NVIE_015830,NVIE_015830,A0A060HGW9,5-carboxymethyl-2-hydroxymuconate Delta-isomerase
gene1687,NVIE_015840,NVIE_015840,A0A060HKS6,putative arsenical pump membrane protein
gene1688,NVIE_015850,NVIE_015850,A0A060HQL8,putative Isochorismatase-like hydrolase
gene1689,NVIE_015860,NVIE_015860,A0A060HRL3,putative nucleobase-cation symporter family protein
gene1690,NVIE_015870,purE2,A0A060HK00,N5-carboxyaminoimidazole ribonucleotide mutase
gene1691,NVIE_1626,NVIE_1626,A0A060HGX5,protein of unknown function
gene1692,NVIE_015880,NVIE_015880,A0A060HKT4,Amidase
gene1693,NVIE_015890,NVIE_015890,A0A060HQM3,protein of unknown function
gene1694,NVIE_015900,NVIE_015900,A0A060HRL8,"putative ABC uptake transporter, substrate-binding protein/surface lipoprotein"
gene1695,NVIE_015910,NVIE_015910,A0A060HK04,"ABC uptake transporter, permease protein"
gene1696,NVIE_015920,NVIE_015920,A0A060HGY1,"ABC uptake transporter, permease protein"
gene1697,NVIE_015930,yufO,A0A060HKU2,"ABC uptake transporter, ATP-binding protein"
gene1698,NVIE_015940,fdrA,A0A060HQM9,"putative Succinyl-CoA ligase, alpha subunit"
gene1699,NVIE_015950,NVIE_015950,A0A060HRM6,conserved protein of unknown function
gene1700,NVIE_015960,NVIE_015960,A0A060HK08,protein of unknown function
gene1701,NVIE_015970,NVIE_015970,A0A060HGY7,putative carbamate kinase with BmpA-like periplasmic binding domain
gene1702,NVIE_015980,NVIE_015980,A0A060HKU8,conserved hypothetical protein
gene1703,NVIE_015990,cofH2,A0A060HQN5,FO synthase subunit 2
gene1704,NVIE_016000,cofH3,A0A060HRN3,FO synthase subunit 2
gene1705,NVIE_016010,NVIE_016010,A0A060HK15,GCN5-related N-acetyltransferase
gene1706,NVIE_016020,ubiD,A0A060HGZ2,putative 3-octaprenyl-4-hydroxybenzoate carboxy-lyase
gene1707,NVIE_016030,NVIE_016030,A0A060HKV5,hypothetical protein
gene1708,NVIE_016040,NVIE_016040,#N/A,putative integrase family protein
gene1709,NVIE_016050,rps24e,A0A060HRP0,putative 30S ribosomal protein S24e
gene1710,NVIE_016060,rps27ae,A0A060HK20,putative 30S ribosomal protein S27ae
gene1711,NVIE_016070,NVIE_016070,A0A060HGZ7,hypothetical protein
gene1712,NVIE_016080,NVIE_016080,A0A060HKW4,protein of unknown function
gene1713,NVIE_016090,NVIE_016090,A0A060HQP9,hypothetical protein
gene1714,NVIE_016100,NVIE_016100,A0A060HRP6,protein of unknown function
gene1715,NVIE_016110,NVIE_016110,A0A060HK25,putative D-glucuronyl C5-epimerase
gene1716,NVIE_016120,NVIE_016120,A0A060HH03,putative pseudouridylate synthase-like protein
gene1717,NVIE_016130,srp54,A0A060HKW9,signal recognition particle SRP54 subunit protein
gene1718,NVIE_016140,NVIE_016140,A0A060HQQ4,putative ATP binding protein
gene1719,NVIE_016150,appF,A0A060HRQ3,"peptide/opine/nickel ABC uptake transporter, ATP-binding protein"
gene1720,NVIE_016160,NVIE_016160,A0A060HK31,"peptide/opine/nickel ABC uptake transporter, substrate-binding protein"
gene1721,NVIE_016170,appB,A0A060HH10,"peptide/opine/nickel ABC uptake transporter, permease protein"
gene1722,NVIE_016180,dppC,A0A060HKX8,"peptide/opine/nickel ABC uptake transporter, permease protein"
gene1723,NVIE_016190,eIF-5A,A0A060HQQ8,translation initiation factor 5A
gene1724,NVIE_016200,NVIE_016200,A0A060HRR0,protein of unknown function
gene1725,NVIE_016210,NVIE_016210,A0A060HK36,hypothetical protein
gene1726,NVIE_016220,corA,A0A060HH16,putative CorA ion transporter
gene1727,NVIE_016230,hemB2,A0A060HKY4,delta-aminolevulinic acid dehydratase
gene1728,NVIE_016240,gabD,A0A060HQR8,succinate-semialdehyde dehydrogenase
gene1729,NVIE_016250,NVIE_016250,A0A060HRR6,conserved protein of unknown function
gene1730,NVIE_016260,adh2,A0A060HK42,NAD-dependent alcohol dehydrogenase
gene1731,NVIE_016270,NVIE_016270,A0A060HH21,DUF488 protein of unknown function
gene1732,NVIE_016280,NVIE_016280,A0A060HKZ2,hypothetical protein
gene1733,NVIE_016290,fumC,A0A060HQS5,putative fumarate hydratase
gene1734,NVIE_016300,NVIE_016300,A0A060HRS4,GCN5-related N-acetyltransferase
gene1735,NVIE_016310,NVIE_016310,A0A060HK48,protein of unknown function
gene1736,NVIE_016320,NVIE_016320,A0A060HH28,membrane protein of unknown function DUF2182
gene1737,NVIE_016330,NVIE_016330,A0A060HL00,hypothetical protein
gene1738,NVIE_016340,NVIE_016340,A0A060HQT2,protein of unknown function
gene1739,NVIE_016350,NVIE_016350,A0A060HRS9,conserved protein of unknown function
gene1740,NVIE_016360,NVIE_016360,A0A060HK56,protein of unknown function
gene1741,NVIE_016370,NVIE_016370,A0A060HH33,2-hydroxyacid dehydrogenase
gene1742,NVIE_016380,rpl15e,A0A060HL07,50S ribosomal protein L15e
gene1743,NVIE_016390,NVIE_016390,A0A060HQT9,exported protein of unknown function
gene1744,NVIE_016400,NVIE_016400,A0A060HRT3,conserved protein of unknown function
gene1745,NVIE_016410,NVIE_016410,A0A060HK65,putative NAD-dependent alcohol dehydrogenase
gene1746,NVIE_016420,NVIE_016420,A0A060HH38,Putative nitroreductase family protein
gene1747,NVIE_016430,NVIE_016430,A0A060HL31,O-methyltransferase family 2
gene1748,NVIE_016440,NVIE_016440,A0A060HQX5,Methyltransferase type 11
gene1749,NVIE_016450,NVIE_016450,A0A060HRW0,hypothetical protein
gene1750,NVIE_016460,NVIE_016460,A0A060HK95,conserved membrane protein of unknown function
gene1751,NVIE_016470,NVIE_016470,A0A060HH57,"putative transcriptional regulator, AsnC family"
gene1752,NVIE_016480,argD1,A0A060HL43,acetylornithine and succinylornithine aminotransferase
gene1753,NVIE_1688,argB,A0A060HQX8,acetylglutamate/acetylaminoadipate kinase
gene1754,NVIE_016490,argC,A0A060HRX8,N-acetyl-gamma-glutamyl-phosphate/N-acetyl- gamma-aminoadipyl-phosphate reductase
gene1755,NVIE_016500,lysX2,A0A060HKA9,lysine biosynthesis enzyme
gene1756,NVIE_016510,NVIE_016510,A0A060HH68,putative lysine biosynthesis protein LysW
gene1757,NVIE_016520,argG,A0A060HL48,argininosuccinate synthase
gene1758,NVIE_016530,NVIE_016530,A0A060HQY2,LysC-like protein
gene1759,NVIE_016540,NVIE_016540,A0A060HRY5,hypothetical protein
gene1760,NVIE_016550,NVIE_016550,A0A060HKC1,hypothetical protein
gene1761,NVIE_016560,NVIE_016560,A0A060HH70,hypothetical protein
gene1762,NVIE_016570,NVIE_016570,A0A060HL53,hypothetical protein
gene1763,NVIE_016580,NVIE_016580,A0A060HQY7,conserved membrane protein of unknown function
gene1764,NVIE_016590,NVIE_016590,A0A060HRZ0,protein of unknown function
gene1765,NVIE_016600,NVIE_016600,A0A060HKC5,putative Methyltransferase type 11
gene1766,NVIE_t0250,NVIE_t0250,#N/A,tRNA-Ile
gene1767,NVIE_016610,NVIE_016610,A0A060HH74,protein of unknown function
gene1768,NVIE_016620,eIF-1a2,A0A060HL54,translation initiation factor 1a (IF-1)
gene1769,NVIE_t0260,NVIE_t0260,#N/A,tRNA-Ala
gene1770,NVIE_016630,rpl12p,A0A060HQZ0,50S ribosomal protein L12p
gene1771,NVIE_016631,NVIE_016631,#N/A,traJ-II
gene1772,NVIE_016640,NVIE_016640,A0A060HRZ4,protein of unknown function
gene1773,NVIE_016650,NVIE_016650,A0A060HKD2,protein of unknown function
gene1774,NVIE_016660,rpl10p,A0A060HH77,acidic ribosomal protein P0 (L10p)
gene1775,NVIE_016670,rpl1p,A0A060HL59,50S ribosomal protein L1p
gene1776,NVIE_016680,NVIE_016680,A0A060HR03,putative exported polysaccharide deacetylase family protein
gene1777,NVIE_016690,NVIE_016690,A0A060HRZ9,"putative glycosyl transferase, family 2"
gene1778,NVIE_016700,NVIE_016700,A0A060HKD5,putative UDP-3-O-acylglucosamine N-acyltransferase
gene1779,NVIE_016710,NVIE_016710,A0A060HH80,putative glycoside hydrolase/deacetylase family protein
gene1780,NVIE_016720,NVIE_016720,A0A060HL61,protein of unknown function
gene1781,NVIE_016730,NVIE_016730,A0A060HR06,Surface associated S-layer protein
gene1782,NVIE_016740,NVIE_016740,A0A060HS03,surface associated S-layer protein
gene1783,NVIE_1714,NVIE_1714,A0A060HKE1,fragment/protein of unknown function
gene1784,NVIE_016750,NVIE_016750,A0A060HH84,protein of unknown function
gene1785,NVIE_016760,NVIE_016760,A0A060HL65,protein of unknown function
gene1786,NVIE_016770,NVIE_016770,A0A060HR10,protein of unknown function
gene1787,NVIE_016780,NVIE_016780,A0A060HS08,conserved protein of unknown function
gene1788,NVIE_016790,NVIE_016790,A0A060HKE6,putative DNA double-strand break repair Rad50 ATPase
gene1789,NVIE_016800,NVIE_016800,A0A060HH86,putative DNA double-strand break repair protein Mre11
gene1790,NVIE_016810,NVIE_016810,A0A060HL69,putative RelE protein
gene1791,NVIE_1722,NVIE_1722,A0A060HR13,hypothetical protein
gene1792,NVIE_016820,NVIE_016820,A0A060HS11,protein of unknown function
gene1793,NVIE_016830,NVIE_016830,A0A060HKE9,DUF87 domain-containing protein
gene1794,NVIE_016840,NVIE_016840,A0A060HH89,hypothetical protein
gene1795,NVIE_016850,NVIE_016850,A0A060HL71,putative FAD dependent oxidoreductase
gene1796,NVIE_016860,dpo,A0A060HR17,"DNA polymerase, family B"
gene1797,NVIE_016870,NVIE_016870,A0A060HS16,putative agmatinase
gene1798,NVIE_016880,NVIE_016880,A0A060HKF3,protein of unknown function
gene1799,NVIE_016890,NVIE_016890,A0A060HH91,protein of unknown function
gene1800,NVIE_016900,thrS,A0A060HL75,threonine--tRNA ligase
gene1801,NVIE_016910,NVIE_016910,A0A060HR21,hypothetical protein
gene1802,NVIE_016920,NVIE_016920,A0A060HS20,protein of unknown function
gene1803,NVIE_016930,NVIE_016930,A0A060HKF6,protein of unknown function
gene1804,NVIE_016940,NVIE_016940,A0A060HH95,exported protein of unknown function
gene1805,NVIE_016950,NVIE_016950,A0A060HL78,exported protein of unknown function
gene1806,NVIE_1735,NVIE_1735,A0A060HR26,protein of unknown function
gene1807,NVIE_016960,NVIE_016960,A0A060HS25,exported protein of unknown function
gene1808,NVIE_016970,NVIE_016970,A0A060HKG0,putative small-conductance mechanosensitive ion channel
gene1809,NVIE_016980,NVIE_016980,A0A060HH97,protein of unknown function
gene1810,NVIE_1739,NVIE_1739,A0A060HL81,protein of unknown function
gene1811,NVIE_016990,NVIE_016990,A0A060HR28,protein of unknown function
gene1812,NVIE_1741,NVIE_1741,A0A060HS30,protein of unknown function
gene1813,NVIE_017000,NVIE_017000,A0A060HKG5,conserved protein of unknown function
gene1814,NVIE_017010,NVIE_017010,A0A060HHA1,hypothetical protein
gene1815,NVIE_017020,NVIE_017020,A0A060HL86,hypothetical protein
gene1816,NVIE_017030,NVIE_017030,A0A060HR32,hypothetical protein
gene1817,NVIE_017040,NVIE_017040,A0A060HS34,hypothetical protein
gene1818,NVIE_017050,NVIE_017050,A0A060HKG9,putative Fe(II) trafficking protein YggX
gene1819,NVIE_017060,NVIE_017060,A0A060HHA4,hypothetical protein
gene1820,NVIE_017070,purA,A0A060HL88,adenylosuccinate synthase
gene1821,NVIE_017080,NVIE_017080,A0A060HR36,hypothetical protein
gene1822,NVIE_017090,NVIE_017090,A0A060HS38,hypothetical protein
gene1823,NVIE_017100,pyrF,A0A060HKH4,orotidine 5'-phosphate decarboxylase
gene1824,NVIE_017110,NVIE_017110,A0A060HHA9,putative NUDIX hydrolase
gene1825,NVIE_017120,NVIE_017120,A0A060HL91,protein of unknown function
gene1826,NVIE_017130,NVIE_017130,A0A060HR39,protein of unknown function DUF373
gene1827,NVIE_017140,rlmE,A0A060HS43,"ribosomal RNA large subunit, methyltransferase E"
gene1828,NVIE_1757,NVIE_1757,A0A060HKH7,"putative RNA polymerase subunit, Rpc34-like"
gene1829,NVIE_017150,NVIE_017150,A0A060HHB4,putative glyoxalase/bleomycin resistance domain protein
gene1830,NVIE_017160,NVIE_017160,A0A060HL93,4-hydroxybutyryl-CoA dehydratase
gene1831,NVIE_017170,NVIE_017170,A0A060HR43,"putative alpha/beta hydrolase fold, putative lipase"
gene1832,NVIE_017180,NVIE_017180,A0A060HS48,hypothetical protein
gene1833,NVIE_017190,NVIE_017190,A0A060HKI2,putative transposase IS605 OrfB family
gene1834,NVIE_017200,NVIE_017200,A0A060HHB7,putative transposase
gene1835,NVIE_017210,apt,A0A060HL96,adenine phosphoribosyltransferase
gene1836,NVIE_017220,NVIE_017220,A0A060HR46,5'-methylthioadenosine phosphorylase
gene1837,NVIE_017230,NVIE_017230,A0A060HS51,hypothetical protein
gene1838,NVIE_017240,NVIE_017240,A0A060HKI6,protein of unknown function
gene1839,NVIE_1768,NVIE_1768,A0A060HHC2,hypothetical protein
gene1840,NVIE_017250,dps2,A0A060HLA0,"putative ferritin, Dps family protein"
gene1841,NVIE_1770,NVIE_1770,A0A060HR50,fragment/protein of unknown function
gene1842,NVIE_017260,NVIE_017260,A0A060HS57,hypothetical protein
gene1843,NVIE_017270,NVIE_017270,A0A060HKJ0,pfkB family carbohydrate kinase
gene1844,NVIE_017280,NVIE_017280,A0A060HHC5,"3-octaprenyl-4-hydroxybenzoate carboxy-lyase, phenylacrylic acid decarboxylase"
gene1845,NVIE_017290,NVIE_017290,A0A060HLA3,HSP20-like chaperone
gene1846,NVIE_017300,cas4-1,A0A060HR54,"putative CRISPR-associated exonuclease, Cas4 family"
gene1847,NVIE_017310,cas2-1,A0A060HS61,"putative CRISPR-associated protein, Cas2 family"
gene1848,NVIE_017320,cas1-1,A0A060HKJ5,"CRISPR-associated protein, Cas1 family"
gene1849,NVIE_017330,NVIE_017330,A0A060HHC9,putative CRISPR-associated protein
gene1850,NVIE_017340,cas3-1,A0A060HLA6,putative CRISPR-associated helicase and HD nuclease Cas3
gene1851,NVIE_1781,cas5-1,A0A060HR59,putative CRISPR-associated protein Cas5d
gene1852,NVIE_017350,cas7-1,A0A060HS64,putative CPISPR-associated protein Cas7
gene1853,NVIE_017360,NVIE_017360,A0A060HKK0,putative CPISPR-associated protein
gene1854,NVIE_017370,NVIE_017370,A0A060HHD5,putative RNA-binding protein containing KH domain
gene1855,NVIE_017380,NVIE_017380,A0A060HLA8,putative serine/threonine protein kinase
gene1856,NVIE_017390,NVIE_017390,A0A060HR62,putative protein of unknown function DUF424
gene1857,NVIE_017400,NVIE_017400,A0A060HS70,putative FAD/NAD(P)-binding oxidoreductase
gene1858,NVIE_017410,NVIE_017410,A0A060HKK3,conserved protein of unknown function
gene1859,NVIE_017420,trm,A0A060HHD9,"N(2),N(2)-dimethylguanosine tRNA methyltransferase"
gene1860,NVIE_1790,NVIE_1790,A0A060HLB3,fragment/protein of unknown function
gene1861,NVIE_017430,cysM1,A0A060HR66,putative cysteine synthase
gene1862,NVIE_017440,rnhB,A0A060HS75,ribonuclease HII
gene1863,NVIE_017450,flpA,A0A060HKK7,fibrillarin-like rRNA/tRNA 2'-O-methyltransferase
gene1864,NVIE_017460,NVIE_017460,A0A060HHE1,"putative pre-mRNA processing ribonucleoprotein, snoRNA-binding domain"
gene1865,NVIE_017470,NVIE_017470,A0A060HLB6,hypothetical protein
gene1866,NVIE_017480,NVIE_017480,A0A060HR70,putative signal peptidase I
gene1867,NVIE_017490,NVIE_017490,A0A060HS79,putative uncharacterised protein family UPF0047
gene1868,NVIE_017500,tbp,A0A060HKL2,TATA-box-binding protein
gene1869,NVIE_017510,NVIE_017510,A0A060HHE5,conserved membrane protein of unknown function
gene1870,NVIE_017520,NVIE_017520,A0A060HLB9,conserved exported protein of unknown function
gene1871,NVIE_017530,pyrE,A0A060HR74,orotate phosphoribosyltransferase
gene1872,NVIE_017540,NVIE_017540,A0A060HS84,hypothetical protein
gene1873,NVIE_017550,NVIE_017550,A0A060HKL6,putative peptidase M50
gene1874,NVIE_017560,NVIE_017560,A0A060HHE8,putative ribosomal-protein-alanine acetyltransferase
gene1875,NVIE_017570,NVIE_017570,A0A060HLC3,protein of unknown function
gene1876,NVIE_017580,NVIE_017580,A0A060HR82,conserved protein of unknown function
gene1877,NVIE_017590,NVIE_017590,A0A060HS87,exported protein of unknown function
gene1878,NVIE_017600,NVIE_017600,A0A060HKL9,putative methyltransferase
gene1879,NVIE_017610,NVIE_017610,A0A060HHF1,ABC transporter-related RNase L inhibitor
gene1880,NVIE_1810,NVIE_1810,A0A060HLC7,protein of unknown function
gene1881,NVIE_017620,NVIE_017620,A0A060HR86,protein of unknown function
gene1882,NVIE_017630,NVIE_017630,A0A060HS93,protein of unknown function
gene1883,NVIE_r0030,NVIE_r0030,#N/A,5S ribosomal RNA
gene1884,NVIE_017640,NVIE_017640,A0A060HKM6,hypothetical protein
gene1885,NVIE_017650,pepA,A0A060HHF3,leucyl aminopeptidase
gene1886,NVIE_017660,NVIE_017660,A0A060HLD3,hypothetical protein
gene1887,NVIE_017670,tktA,A0A060HR90,ribulose-phosphate 3-epimerase protein with N-terminal transketolase domain
gene1888,NVIE_017680,tktB,A0A060HS98,"transketolase, C-terminal subunit"
gene1889,NVIE_017690,tal,A0A060HKM8,transaldolase
gene1890,NVIE_017700,NVIE_017700,A0A060HHF6,putative von Willebrand factor type A domain protein
gene1891,NVIE_017710,NVIE_017710,A0A060HLD6,putative NorQ like ATPase
gene1892,NVIE_017720,NVIE_017720,A0A060HR94,Hemerythrin HHE cation binding domain protein
gene1893,NVIE_017730,aniA,A0A060HSA2,multicopper oxidase type 3
gene1894,NVIE_017740,NVIE_017740,A0A060HKN3,Antibiotic biosynthesis monooxygenase
gene1895,NVIE_017750,NVIE_017750,A0A060HHG0,putative protein of unknown function DUF488
gene1896,NVIE_017760,NVIE_017760,A0A060HLE0,protein of unknown function
gene1897,NVIE_017770,NVIE_017770,A0A060HR98,protein of unknown function
gene1898,NVIE_017780,NVIE_017780,A0A060HSA7,protein of unknown function
gene1899,NVIE_017800,NVIE_017800,A0A060HKN9,protein of unknown function
gene1900,NVIE_017810,NVIE_017810,A0A060HHG3,putative flavin/deazaflavin oxidoreductase superfamily protein
gene1901,NVIE_017820,NVIE_017820,A0A060HLE4,protein of unknown function
gene1902,NVIE_017830,NVIE_017830,A0A060HRA2,protein of unknown function
gene1903,NVIE_017840,NVIE_017840,A0A060HSB1,"xylose isomerase domain-containing protein, TIM barrel"
gene1904,NVIE_017850,NVIE_017850,A0A060HKP3,putative polysaccharide deacetylase
gene1905,NVIE_017860,NVIE_017860,A0A060HHG8,protein of unknown function
gene1906,NVIE_017870,NVIE_017870,A0A060HLE8,protein of unknown function
gene1907,NVIE_017880,NVIE_017880,A0A060HRA6,protein of unknown function
gene1908,NVIE_1836,NVIE_1836,A0A060HSB6,protein of unknown function
gene1909,NVIE_017900,NVIE_017900,A0A060HKP8,putative pterin-4-alpha-carbinolamine dehydratase
gene1910,NVIE_017910,NVIE_017910,A0A060HHH3,exported protein of unknown function
gene1911,NVIE_017940,NVIE_017940,A0A060HLF1,putative serine/threonine protein kinase
gene1912,NVIE_017950,NVIE_017950,A0A060HRB0,exported protein of unknown function
gene1913,NVIE_017960,NVIE_017960,A0A060HSC1,Carbonate dehydratase
gene1914,NVIE_017980,NVIE_017980,A0A060HKQ1,major facilitator superfamily transporter
gene1915,NVIE_017990,NVIE_017990,A0A060HHH7,exported protein of unknown function
gene1916,NVIE_018000,NVIE_018000,A0A060HLF7,putative glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein
gene1917,NVIE_018010,NVIE_018010,A0A060HRB4,putative archaeal serine protease
gene1918,NVIE_018020,NVIE_018020,A0A060HSC5,Sialidase domain containing protein
gene1919,NVIE_018030,NVIE_018030,A0A060HKQ6,protein of unknown function
gene1920,NVIE_018040,NVIE_018040,A0A060HHI1,exported protein of unknown function
